Date,Hour,Price (Euro/MWh)
19/01/2019,3,61.11
19/01/2019,4,60.71
19/01/2019,5,60.37
19/01/2019,6,60.92
19/01/2019,7,63.58
19/01/2019,8,67.62
19/01/2019,9,73.34
19/01/2019,10,77.00
19/01/2019,11,71.92
19/01/2019,12,68.25
19/01/2019,13,66.95
19/01/2019,14,64.20
19/01/2019,15,63.93
19/01/2019,16,63.72
19/01/2019,17,68.15
19/01/2019,18,76.85
19/01/2019,19,77.68
19/01/2019,20,77.68
19/01/2019,21,70.00
19/01/2019,22,67.00
19/01/2019,23,66.02
19/01/2019,24,62.57
20/01/2019,1,66.69
20/01/2019,2,63.41
20/01/2019,3,60.44
20/01/2019,4,58.59
20/01/2019,5,58.60
20/01/2019,6,59.01
20/01/2019,7,59.60
20/01/2019,8,61.94
20/01/2019,9,63.22
20/01/2019,10,64.02
20/01/2019,11,66.30
20/01/2019,12,66.15
20/01/2019,13,65.12
20/01/2019,14,62.41
20/01/2019,15,60.92
20/01/2019,16,62.41
20/01/2019,17,64.46
20/01/2019,18,70.93
20/01/2019,19,77.00
20/01/2019,20,77.65
20/01/2019,21,75.00
20/01/2019,22,71.29
20/01/2019,23,67.10
20/01/2019,24,64.50
21/01/2019,1,59.00
21/01/2019,2,57.21
21/01/2019,3,54.83
21/01/2019,4,54.48
21/01/2019,5,54.83
21/01/2019,6,59.25
21/01/2019,7,70.06
21/01/2019,8,79.62
21/01/2019,9,88.06
21/01/2019,10,86.01
21/01/2019,11,80.04
21/01/2019,12,79.15
21/01/2019,13,75.41
21/01/2019,14,71.56
21/01/2019,15,74.13
21/01/2019,16,76.49
21/01/2019,17,81.08
21/01/2019,18,88.35
21/01/2019,19,88.50
21/01/2019,20,81.62
21/01/2019,21,77.77
21/01/2019,22,71.05
21/01/2019,23,69.01
21/01/2019,24,67.02
22/01/2019,1,63.93
22/01/2019,2,61.57
22/01/2019,3,61.14
22/01/2019,4,61.16
22/01/2019,5,61.57
22/01/2019,6,62.54
22/01/2019,7,66.00
22/01/2019,8,75.87
22/01/2019,9,83.58
22/01/2019,10,80.10
22/01/2019,11,80.93
22/01/2019,12,81.08
22/01/2019,13,75.60
22/01/2019,14,76.83
22/01/2019,15,78.41
22/01/2019,16,79.19
22/01/2019,17,80.88
22/01/2019,18,85.00
22/01/2019,19,91.52
22/01/2019,20,87.12
22/01/2019,21,72.75
22/01/2019,22,68.71
22/01/2019,23,66.52
22/01/2019,24,61.75
23/01/2019,1,61.57
23/01/2019,2,61.53
23/01/2019,3,60.39
23/01/2019,4,60.90
23/01/2019,5,60.43
23/01/2019,6,63.04
23/01/2019,7,72.00
23/01/2019,8,82.90
23/01/2019,9,92.15
23/01/2019,10,93.65
23/01/2019,11,91.93
23/01/2019,12,90.31
23/01/2019,13,84.96
23/01/2019,14,83.99
23/01/2019,15,85.59
23/01/2019,16,88.00
23/01/2019,17,84.96
23/01/2019,18,90.01
23/01/2019,19,93.90
23/01/2019,20,90.54
23/01/2019,21,78.56
23/01/2019,22,75.19
23/01/2019,23,68.98
23/01/2019,24,65.18
24/01/2019,1,64.73
24/01/2019,2,63.71
24/01/2019,3,63.04
24/01/2019,4,63.04
24/01/2019,5,62.90
24/01/2019,6,63.10
24/01/2019,7,74.90
24/01/2019,8,94.47
24/01/2019,9,113.07
24/01/2019,10,111.23
24/01/2019,11,108.25
24/01/2019,12,101.47
24/01/2019,13,90.00
24/01/2019,14,90.00
24/01/2019,15,89.86
24/01/2019,16,90.45
24/01/2019,17,95.01
24/01/2019,18,106.82
24/01/2019,19,108.06
24/01/2019,20,100.00
24/01/2019,21,89.34
24/01/2019,22,74.43
24/01/2019,23,70.12
24/01/2019,24,65.57
25/01/2019,1,64.63
25/01/2019,2,60.64
25/01/2019,3,57.80
25/01/2019,4,55.90
25/01/2019,5,55.32
25/01/2019,6,58.98
25/01/2019,7,69.83
25/01/2019,8,84.48
25/01/2019,9,97.00
25/01/2019,10,93.64
25/01/2019,11,85.00
25/01/2019,12,78.00
25/01/2019,13,71.81
25/01/2019,14,69.87
25/01/2019,15,68.64
25/01/2019,16,68.57
25/01/2019,17,70.00
25/01/2019,18,75.13
25/01/2019,19,73.53
25/01/2019,20,69.69
25/01/2019,21,67.63
25/01/2019,22,66.88
25/01/2019,23,63.93
25/01/2019,24,59.99
26/01/2019,1,60.73
26/01/2019,2,54.69
26/01/2019,3,53.14
26/01/2019,4,51.00
26/01/2019,5,49.90
26/01/2019,6,50.84
26/01/2019,7,55.61
26/01/2019,8,62.87
26/01/2019,9,67.65
26/01/2019,10,68.88
26/01/2019,11,66.49
26/01/2019,12,65.44
26/01/2019,13,62.87
26/01/2019,14,57.44
26/01/2019,15,56.45
26/01/2019,16,58.44
26/01/2019,17,61.57
26/01/2019,18,66.17
26/01/2019,19,76.46
26/01/2019,20,74.69
26/01/2019,21,68.16
26/01/2019,22,65.00
26/01/2019,23,61.93
26/01/2019,24,54.17
27/01/2019,1,61.57
27/01/2019,2,60.00
27/01/2019,3,58.41
27/01/2019,4,57.05
27/01/2019,5,57.59
27/01/2019,6,55.15
27/01/2019,7,61.57
27/01/2019,8,62.87
27/01/2019,9,63.94
27/01/2019,10,65.43
27/01/2019,11,66.45
27/01/2019,12,65.43
27/01/2019,13,64.49
27/01/2019,14,61.94
27/01/2019,15,62.87
27/01/2019,16,61.24
27/01/2019,17,62.87
27/01/2019,18,66.16
27/01/2019,19,72.89
27/01/2019,20,72.89
27/01/2019,21,70.05
27/01/2019,22,65.00
27/01/2019,23,61.57
27/01/2019,24,53.28
28/01/2019,1,49.90
28/01/2019,2,40.97
28/01/2019,3,40.42
28/01/2019,4,37.80
28/01/2019,5,38.09
28/01/2019,6,47.01
28/01/2019,7,60.21
28/01/2019,8,64.04
28/01/2019,9,69.56
28/01/2019,10,73.55
28/01/2019,11,67.00
28/01/2019,12,66.81
28/01/2019,13,64.60
28/01/2019,14,64.99
28/01/2019,15,66.20
28/01/2019,16,70.00
28/01/2019,17,73.55
28/01/2019,18,74.93
28/01/2019,19,73.00
28/01/2019,20,70.20
28/01/2019,21,68.65
28/01/2019,22,63.71
28/01/2019,23,64.29
28/01/2019,24,59.61
29/01/2019,1,57.47
29/01/2019,2,56.47
29/01/2019,3,55.00
29/01/2019,4,56.45
29/01/2019,5,56.53
29/01/2019,6,57.16
29/01/2019,7,64.94
29/01/2019,8,71.90
29/01/2019,9,83.02
29/01/2019,10,85.00
29/01/2019,11,80.00
29/01/2019,12,75.04
29/01/2019,13,69.98
29/01/2019,14,68.99
29/01/2019,15,72.12
29/01/2019,16,75.49
29/01/2019,17,78.00
29/01/2019,18,85.00
29/01/2019,19,79.81
29/01/2019,20,78.48
29/01/2019,21,70.00
29/01/2019,22,66.08
29/01/2019,23,63.29
29/01/2019,24,61.44
30/01/2019,1,61.23
30/01/2019,2,60.82
30/01/2019,3,60.01
30/01/2019,4,59.94
30/01/2019,5,59.42
30/01/2019,6,61.38
30/01/2019,7,65.50
30/01/2019,8,71.23
30/01/2019,9,84.98
30/01/2019,10,90.02
30/01/2019,11,89.97
30/01/2019,12,83.32
30/01/2019,13,69.90
30/01/2019,14,69.87
30/01/2019,15,79.39
30/01/2019,16,83.32
30/01/2019,17,83.32
30/01/2019,18,83.32
30/01/2019,19,77.93
30/01/2019,20,72.46
30/01/2019,21,66.29
30/01/2019,22,66.24
30/01/2019,23,61.39
30/01/2019,24,58.58
31/01/2019,1,55.33
31/01/2019,2,49.62
31/01/2019,3,49.47
31/01/2019,4,49.00
31/01/2019,5,49.00
31/01/2019,6,50.59
31/01/2019,7,62.99
31/01/2019,8,71.70
31/01/2019,9,78.49
31/01/2019,10,77.00
31/01/2019,11,71.64
31/01/2019,12,71.21
31/01/2019,13,66.81
31/01/2019,14,66.22
31/01/2019,15,67.04
31/01/2019,16,69.47
31/01/2019,17,71.21
31/01/2019,18,83.50
31/01/2019,19,84.88
31/01/2019,20,77.96
31/01/2019,21,67.04
31/01/2019,22,66.11
31/01/2019,23,62.48
31/01/2019,24,59.00
01/02/2019,1,55.26
01/02/2019,2,54.20
01/02/2019,3,52.70
01/02/2019,4,50.40
01/02/2019,5,49.62
01/02/2019,6,55.29
01/02/2019,7,63.63
01/02/2019,8,67.00
01/02/2019,9,83.50
01/02/2019,10,87.53
01/02/2019,11,78.30
01/02/2019,12,80.39
01/02/2019,13,70.99
01/02/2019,14,68.04
01/02/2019,15,74.09
01/02/2019,16,72.30
01/02/2019,17,67.79
01/02/2019,18,72.00
01/02/2019,19,75.15
01/02/2019,20,69.83
01/02/2019,21,64.43
01/02/2019,22,62.34
01/02/2019,23,59.46
01/02/2019,24,54.11
02/02/2019,1,50.56
